"","motif","observed","background","percent.observed","percent.background","fold.enrichment","pvalue","motif.name","p.adjust"
"IRF3_HUMAN.H11MO.0.B","IRF3_HUMAN.H11MO.0.B",2815,20255,63.4723788049605,62.1223738690385,1.02173138036817,0.0238373287586434,"IRF3",0.088507118816815
"FOSL2_HUMAN.H11MO.0.A","FOSL2_HUMAN.H11MO.0.A",852,5914,19.2108229988726,18.1383223431989,1.05912898863416,0.0247601143115063,"FOSL2",0.0910899618248992
"MEF2B_HUMAN.H11MO.0.A","MEF2B_HUMAN.H11MO.0.A",1284,9044,28.9515219842165,27.738076982058,1.04374654389139,0.0275100263302429,"MEF2B",0.100286550531158
"GFI1_HUMAN.H11MO.0.C","GFI1_HUMAN.H11MO.0.C",788,5463,17.7677564825254,16.7550989112099,1.06043877011301,0.0279393105891513,"GFI1",0.100933905822069
"JUN_HUMAN.H11MO.0.A","JUN_HUMAN.H11MO.0.A",841,5845,18.9627959413754,17.9266983591474,1.05779634160572,0.0283405230827416,"JUN",0.101469194251602
"MEF2D_HUMAN.H11MO.0.A","MEF2D_HUMAN.H11MO.0.A",1130,7932,25.4791431792559,24.3275571231406,1.04733669107368,0.0288375035077975,"MEF2D",0.101763608926086
"MEF2C_HUMAN.H11MO.0.A","MEF2C_HUMAN.H11MO.0.A",1243,8751,28.0270574971815,26.8394418034044,1.04424889692104,0.0289303027869672,"MEF2C",0.101763608926086
"FOSL1_HUMAN.H11MO.0.A","FOSL1_HUMAN.H11MO.0.A",851,5927,19.1882750845547,18.1781935285999,1.05556556290181,0.0323111480387898,"FOSL1",0.112667568378737
"OVOL1_HUMAN.H11MO.0.C","OVOL1_HUMAN.H11MO.0.C",399,2698,8.99661781285231,8.27480447784082,1.08723025866586,0.0333182349974301,"OVOL1",0.115177691672151
"BC11A_HUMAN.H11MO.0.A","BC11A_HUMAN.H11MO.0.A",2473,17772,55.76099210823,54.5069774574452,1.02300649768672,0.0368172018415465,"BC11A",0.126185452465471
"NF2L2_HUMAN.H11MO.0.A","NF2L2_HUMAN.H11MO.0.A",749,5206,16.8883878241263,15.9668762459745,1.05771395506269,0.0381365977582037,"NF2L2",0.129599794076608
"FOS_HUMAN.H11MO.0.A","FOS_HUMAN.H11MO.0.A",858,5994,19.3461104847802,18.3836834841282,1.05235223949993,0.0398186461968242,"FOS",0.13417879936913
"FOSB_HUMAN.H11MO.0.A","FOSB_HUMAN.H11MO.0.A",876,6127,19.7519729425028,18.7915963809232,1.05110670440722,0.0414118287509055,"FOSB",0.138384527742609
"MEIS2_HUMAN.H11MO.0.B","MEIS2_HUMAN.H11MO.0.B",748,5206,16.8658399098083,15.9668762459745,1.05630178689839,0.0418890594254497,"MEIS2",0.138822420079383
"ZN394_HUMAN.H11MO.0.C","ZN394_HUMAN.H11MO.0.C",1920,13728,43.2919954904171,42.1039717834688,1.02821642844191,0.0439594446691175,"ZN394",0.144489650100952
"Z354A_HUMAN.H11MO.0.C","Z354A_HUMAN.H11MO.0.C",1582,11265,35.6708004509583,34.5499156571078,1.03244247554682,0.047500516460905,"Z354A",0.154859407323764
"JUNB_HUMAN.H11MO.0.A","JUNB_HUMAN.H11MO.0.A",877,6147,19.7745208568207,18.8529366661555,1.04888279247867,0.0482493933476564,"JUNB",0.156032312358147
"SOX3_HUMAN.H11MO.0.B","SOX3_HUMAN.H11MO.0.B",999,7043,22.5253664036077,21.6009814445637,1.04279365552979,0.0564017148645797,"SOX3",0.180936701285572
"ZN384_HUMAN.H11MO.0.C","ZN384_HUMAN.H11MO.0.C",862,6060,19.4363021420519,18.5861064253949,1.04574361607525,0.061672214609355,"ZN384",0.195907149567835
"CRX_HUMAN.H11MO.0.B","CRX_HUMAN.H11MO.0.B",520,3599,11.7249154453213,11.0381843275571,1.06221413752348,0.0620454064716085,"CRX",0.195907149567835
"HNF6_HUMAN.H11MO.0.B","HNF6_HUMAN.H11MO.0.B",345,2353,7.77903043968433,7.21668455758319,1.07792302373951,0.0645601395097744,"HNF6",0.202254812057965
"RUNX1_HUMAN.H11MO.0.A","RUNX1_HUMAN.H11MO.0.A",952,6718,21.4656144306652,20.6042018095384,1.04180761910068,0.066493883734157,"RUNX1",0.206698041685248
"ERR3_HUMAN.H11MO.0.B","ERR3_HUMAN.H11MO.0.B",562,3909,12.6719278466742,11.9889587486582,1.05696650662781,0.0699415705375966,"ERR3",0.215742844504433
"SIX1_HUMAN.H11MO.0.A","SIX1_HUMAN.H11MO.0.A",636,4451,14.3404735062007,13.6512804784542,1.05048559575303,0.0791729373806572,"SIX1",0.242353800684302
"CEBPB_HUMAN.H11MO.0.A","CEBPB_HUMAN.H11MO.0.A",410,2830,9.24464487034949,8.67965036037418,1.06509415546906,0.0802058840300446,"CEBPB",0.243655753757939
"ZN582_HUMAN.H11MO.0.C","ZN582_HUMAN.H11MO.0.C",700,4930,15.7835400225479,15.1203803097684,1.04385866619711,0.0966069250763059,"ZN582",0.291273510944351
"TGIF1_HUMAN.H11MO.0.A","TGIF1_HUMAN.H11MO.0.A",926,6567,20.8793686583991,20.1410826560343,1.03665572576078,0.0973460120173489,"TGIF1",0.291311573275798
"ZNF41_HUMAN.H11MO.0.C","ZNF41_HUMAN.H11MO.0.C",1224,8737,27.5986471251409,26.7965036037418,1.02993463375898,0.100608833527565,"ZNF41",0.298845498107803
"CEBPE_HUMAN.H11MO.0.A","CEBPE_HUMAN.H11MO.0.A",336,2329,7.576099210823,7.1430762153044,1.06062136010684,0.12080811684293,"CEBPE",0.354825928723038
"MEF2A_HUMAN.H11MO.0.A","MEF2A_HUMAN.H11MO.0.A",1262,9036,28.4554678692221,27.713540867965,1.02677128140326,0.121224818541287,"MEF2A",0.354825928723038
"RFX2_HUMAN.H11MO.0.A","RFX2_HUMAN.H11MO.0.A",783,5555,17.6550169109357,17.0372642232786,1.03625891337725,0.124116639119382,"RFX2",0.360657770194726
"RUNX3_HUMAN.H11MO.0.A","RUNX3_HUMAN.H11MO.0.A",777,5514,17.5197294250282,16.9115166385524,1.03596441404252,0.127156445614843,"RUNX3",0.36683262368023
"ARI5B_HUMAN.H11MO.0.C","ARI5B_HUMAN.H11MO.0.C",398,2779,8.97406989853438,8.52323263303174,1.05289510270498,0.130002370547451,"ARI5B",0.372363932782341
"FOXJ3_HUMAN.H11MO.0.A","FOXJ3_HUMAN.H11MO.0.A",1819,13121,41.0146561443066,40.2422941266677,1.01919279291603,0.133114603707405,"FOXJ3",0.378574156643045
"NFYA_HUMAN.H11MO.0.A","NFYA_HUMAN.H11MO.0.A",729,5174,16.4374295377678,15.8687317896028,1.03583763061252,0.13733994534845,"NFYA",0.387840268202312
"PAX6_HUMAN.H11MO.0.C","PAX6_HUMAN.H11MO.0.C",521,3674,11.7474633596392,11.2682103971783,1.04253141764028,0.14461452500344,"PAX6",0.405527444240415
"ZN274_HUMAN.H11MO.0.A","ZN274_HUMAN.H11MO.0.A",927,6621,20.901916572717,20.3067014261616,1.02931126695883,0.14922057244412,"ZN274",0.4137005056749
"CEBPA_HUMAN.H11MO.0.A","CEBPA_HUMAN.H11MO.0.A",475,3345,10.7102593010147,10.2591627051066,1.04397011811534,0.149592452176709,"CEBPA",0.4137005056749
"ZN502_HUMAN.H11MO.0.C","ZN502_HUMAN.H11MO.0.C",660,4687,14.8816234498309,14.3750958441957,1.0352364680643,0.155931059380728,"ZN502",0.426614583076701
