"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","group1prop","group2prop"
"AC092134.1",1.5345776729939,-1.65505693850098,0.903210154734216,-1.83241622099345,0.0668894331733121,0.135849284537126,0,0.00148717313173875
"PABPN1L",1.79257247964059,-0.767423558138981,0.885558570555187,-0.86659830716545,0.386162141386094,0.464443156156894,0.00210970464135021,0.00619655471557814
"CDH15",1.62044782619633,-1.84381992419223,0.898952952189553,-2.05107499753051,0.0402596437370404,0.0988576217178909,0.00210970464135021,0.00161110422605032
"AC087292.1",1.5300487982556,-1.69261052105043,0.916579834857735,-1.84665913069443,0.0647965584541654,0.133448726455383,0,0.00123931094311563
"TMEM95",1.51684508448051,-1.80368342142327,0.957944713972374,-1.8828679725616,0.0597182625472377,NA,0,0.000123931094311563
"ALOX12B",1.64651314698859,-0.873260877625702,0.824238098968972,-1.0594764773893,0.289382836405424,0.369398962926882,0,0.00669227909282439
"AC129492.4",1.51405885589772,-1.83930811848905,0.957520247427958,-1.9209078068372,0.0547433313812639,NA,0,0.000123931094311563
"AC068418.2",1.51333546285386,-1.86315027602459,0.950050593236821,-1.96110637611082,0.0498666151020416,NA,0,0.000247862188623126
"AC068418.1",1.5345776729939,-1.65505693850098,0.903210154734216,-1.83241622099345,0.0668894331733121,0.135849284537126,0,0.00148717313173875
"AC003101.1",1.5148025421622,-1.85038678998053,0.94475634702656,-1.95858624904111,0.0501612612737192,NA,0,0.000371793282934688
"C17orf78",1.51405885589772,-1.83930811848905,0.957520247427958,-1.9209078068372,0.0547433313812639,NA,0,0.000123931094311563
"ARL5C",1.51405885589772,-1.83930811848905,0.957520247427958,-1.9209078068372,0.0547433313812639,NA,0,0.000123931094311563
"AC080112.1",1.53413388289222,-1.64940284512269,0.922959837432804,-1.78707976038316,0.0739245982091897,0.143766895715111,0,0.000743586565869377
"AC004231.1",1.5148025421622,-1.85038678998053,0.94475634702656,-1.95858624904111,0.0501612612737192,NA,0,0.000371793282934688
"AC040934.1",1.59366390085569,-1.3787655078885,0.911291008906137,-1.51298047979591,0.130284617284866,0.201376773726933,0,0.000867517660180939
"TMEM92-AS1",1.5148025421622,-1.85038678998053,0.94475634702656,-1.95858624904111,0.0501612612737192,NA,0,0.000371793282934688
"ANKRD40CL",1.53060396804494,-1.67125766769457,0.933725348502038,-1.78988143609439,0.0734729737794606,0.143379336320102,0,0.000495724377246251
"AC015813.4",1.56774084984845,-1.54463380992455,0.962098464515281,-1.60548412339766,0.108387304409049,0.178350817685877,0,0.000123931094311563
"EFCAB3",1.57362326489372,-1.29201710659636,0.905080722691573,-1.42751588251056,0.15343125049398,0.227255856037129,0,0.00185896641467344
"ST6GALNAC2",1.51405885589772,-1.83930811848905,0.957520247427958,-1.9209078068372,0.0547433313812639,NA,0,0.000123931094311563
"AP005262.2",1.52328886472385,-1.73182918904962,0.951698076948555,-1.81972542657899,0.068800829178967,NA,0,0.000247862188623126
"AC011731.1",1.52124632240554,-1.78443869161736,0.934127838153407,-1.910272468857,0.0560981406297238,NA,0,0.000495724377246251
"AC007922.2",1.60108166404585,-1.24975903546833,0.913838342726513,-1.36759312565018,0.171439469432815,0.246648376536735,0,0.000867517660180939
"HRH4",1.51771640755826,-1.79920257333665,0.950738670385761,-1.89242599399752,0.0584342453736423,NA,0,0.000247862188623126
"AC105101.2",1.51333546285386,-1.86315027602459,0.950050593236821,-1.96110637611082,0.0498666151020416,NA,0,0.000247862188623126
"GRIN3B",2.10488509926225,0.252648460602498,0.765794459734342,0.329916803903417,0.74146282606472,0.788167444987571,0,0.0439955384806048
"AC005329.3",1.51771640755826,-1.79920257333665,0.950738670385761,-1.89242599399752,0.0584342453736423,NA,0,0.000247862188623126
"AC004490.1",1.64033051786127,-0.871873036061145,0.901944946827019,-0.966658817845075,0.33371462069361,0.413032142716708,0,0.00384186392365845
"ANGPTL8",1.55699110237449,-1.46564979608654,0.87350327275644,-1.67789845991248,0.0933669232559105,0.162333130250633,0,0.00235469079191969
"OR10H1",1.59993157949587,-1.23344330501931,0.887425991895471,-1.38991117713915,0.16455585111253,0.239437132025003,0,0.00148717313173875
"AC020911.3",1.59746938255013,-1.36852923866869,0.893804990481693,-1.53112731886981,0.125737929236693,0.196422798665327,0,0.00123931094311563
"AC020917.2",1.51771640755826,-1.79920257333665,0.950738670385761,-1.89242599399752,0.0584342453736423,NA,0,0.000247862188623126
"AC008554.1",1.63980941971735,-1.02197063322288,0.950065659827687,-1.07568421471863,0.282068509459264,0.362351604097595,0,0.000495724377246251
"AC011467.1",1.56520185808898,-1.38106500890385,0.892657241978582,-1.54713919739531,0.12182968381445,0.192385293636131,0,0.00210682860329657
"LINC01785",1.52858171894726,-1.70854083457098,0.918648468285746,-1.85984181496456,0.0629079093974162,NA,0,0.00111537984880406
"UPK1A",1.54854536625411,-1.48008993730862,0.909919867261184,-1.62661569503216,0.103818743820433,0.17344794049559,0,0.00322220845210063
"WDR87",1.72100350994902,-0.566644193893185,0.904062316425797,-0.626775592343466,0.530806344890196,0.600648901746569,0,0.00272648407485438
"CYP2B6",1.76955309425075,-1.00537976059851,0.912226690531654,-1.10211614178113,0.270411182669367,0.35014603215799,0.00210970464135021,0.000867517660180939
"AC008403.2",1.52475594403219,-1.73255255346081,0.94035753894525,-1.84244022268819,0.0654107828220366,NA,0,0.000247862188623126
"SCRT2",2.43256224507923,0.683962678448254,0.769601209716577,0.888723497069527,0.374151699766921,0.453097531365041,0,0.0311067046722023
"RSPO4",1.75061489821909,-0.437780933809903,0.810571749959664,-0.540089059150764,0.589135615511566,0.653863314208866,0,0.0146238691287644
"AL034550.1",1.52050263614106,-1.77313138215203,0.947064496353074,-1.87223931314071,0.0611735024434384,NA,0,0.000247862188623126
"AL121895.1",1.52709434641829,-1.73040908663687,0.921360946922502,-1.8781011854439,0.0603673242068651,NA,0,0.000619655471557814
"AL353653.1",1.51186838354552,-1.87221617110173,0.957190512314747,-1.95594936119268,0.0504711196965147,NA,0,0.000123931094311563
"FP236383.5",1.56205804830656,-1.4317810195464,0.935346081268852,-1.53075000603424,0.125831189741769,0.196459525586027,0,0.000619655471557814
"AP000962.1",1.51405885589772,-1.83930811848905,0.957520247427958,-1.9209078068372,0.0547433313812639,NA,0,0.000123931094311563
"CYYR1-AS1",1.54691006369124,-1.53113331130563,0.892454519671249,-1.71564295721159,0.0862274110602982,0.155276757743611,0,0.00235469079191969
"AP001631.2",1.5197792430972,-1.79586512872588,0.93950934253136,-1.91149257109802,0.0559413105777462,NA,0,0.000371793282934688
"AP000542.2",1.52050263614106,-1.77313138215203,0.947064496353074,-1.87223931314071,0.0611735024434384,NA,0,0.000247862188623126
